AdditionalInformation,QuestionStem,Answer,A,B,C,D,E,F,G
分析题干和选项：武职招办发布的“2022单招须知”是信息，其他是载体。    普通,"下列关于信息的说法中,正确的是（    ）。
",C,互联网就是信息,网站“湖北技能高考”就是信息,武职招办发布的“2022单招须知”,《湖北招生》2022招生特刊,,,
串行接口简称串口（com)，特别适用于远距离通信，但传送速度较慢。    普通,"数据传送速度相对较慢,但适用于长距离传输的接口类型是（    ）。
",A,串口,并口,USB口,LPT,,,
改正性维护是在软件投入运行一段时间后，可能会暴露出一部分在测试阶段没有发现的错误，为改正这些错误而对软件进行的修改活动。    普通,"软件测试时不可能发现系统中所有潜在的错误，这些程序在使用过程中还可能发生错误，诊断和更正这些错误的过程称为(   )。
",D,适应性维护,预防性维护,完善性维护,改正性维护,,,
指令的执行时间主要取决于CPU的时钟周期。    普通,"一般情况下指令的执行时间主要取决于（   ）。
",B,CPU内Cache的容量大小,CPU的时钟周期,指令执行的步骤,CPU总线的宽度,,,
操作码：指明该指令要完成的操作的类型或性质。    普通,"指令的操作码表示的是（    ）。
",D,操作结果,操作地址,停止操作,做什么操作,,,
在计算机科学中，时间复杂性，又称时间复杂度，算法的时间复杂度是一个函数，它定性描述该算法的运行时间。    普通,"算法执行过程所需要的运行时间称为算法的（    ）。
",D,计算工作量,空间复杂度,工作空间,时间复杂度,,,
"\""回收站\""不能存放U盘上被删除的数据。    普通","关于 Windows\""回收站\""的叙述中错误的是（    ）。
",D,"\""回收站\""可以暂时存放硬盘上被删除的信息","放入\""回收站\""的信息可以被恢复","\""回收站\""所占据的空间是可以调整的","\""回收站\""也可以存放U盘上被删除的数据",,,
操作即可得知。    普通,"Windows7环境中鼠标在桌面空白处右击选择（  ）可以修改屏幕分辨率。
",A,"\""屏幕分辨率\""","\""属性\""","\""个性化\""","\""小工具\""",,,
现代操作系统的两个基本特征是资源共享和程序的并发执行。    普通,"现代操作系统的两个基本特征是（  ）和共享性。
",B,中断处理,并发执行,分时和实时处理,多道程序设计,,,
从大到小分析：\r\n1、bmp(bitmap)格式，标准的位图格式，缺点是完全不压缩，体积极大；\r\n2、tiff是一种压缩图片格式，压缩比很低，所以和bmp并差不了多少；\r\n3、png格式无损的压缩，压缩高，大概是Bmp的10几或几十分之一；\r\n4、JPEG格式是常见的一种图像格式.jpg或.jpeg，它用有损压缩方式去除冗余的图像和彩色数据，在获得极高的压缩率的同时能展现十分丰富生动的图像，即可以用较少的磁盘空间得到较好的图片质量。    普通,"通常情况下,文件保存后占用空间较小的格式是（   ）。
",C,bmp,tif,jpg,png,,,
沉浸性是虚拟现实技术最主要的特征。    普通,"虚拟现实技术最主要的特征是（   ）。
",C,交互性,多感知性,沉浸性,传感器技术,,,
区块链是一个分布式的共享账本和数据库，具有去中心化、不可篡改、全程留痕、可以追溯、集体维护、公开透明等特点。    普通,"区块链是（    ）。
",D,电脑程序,中心化数据库,电子货币,去中心化数据库,,,
SSD是固态硬盘的缩写，是外存。    普通,下列选项中( )属于外存储器.,B,Cache,SSD,CMOS存储器,指令寄存器,,,
清除BIOS参数可以通过跳线或DIP来设置。    普通,"通常在电池旁边都有一个用来清除BIOS用户设置参数的(    ),这样可使用户在错误地设置了BIOS参数之后，通过放电来恢复出厂默认设置。
",D,指示灯按钮,格式化按钮,插座,跳线,,,
电路交换是通信网中最早出现的一种交换方式，也是应用最普遍的一种交换方式，主要应用于电话通信网中。    普通,"用手机拨打电话从数据交换方式来讲属于（   ）。
",B,信号转换,电路交换,分组交换,报文交换,,,
存储程序和自动控制是计算机最基本、重要的设计原理。    普通,"计算机所有特性中最重要的是（    ）。
",B,可靠性、可用性,存储程序和自动控制,运算速度快、计算精度高,具有强大的“记忆”功能和逻辑处理能力,,,
信息是对客观世界中各种事物的运动状态和变化的反映，是客观事物之间相互联系和相互作用的表征，表现的是客观事物运动状态和变化的实质内容，信息在计算机内部采用二进制代码表示。    普通,"下列有关信息的说法正确的是(   )。
",C,只有最新的信息才具有价值,只能借助计算机才能处理信息,信息在计算机内部采用二进制代码表示,信息不能脱离它所反映的事物被存储,,,
图灵对于人工智能的发展有诸多贡献，提出了一种用于判定机器是否具有智能的试验方法，即图灵试验，他提出的著名的图灵机模型为现代计算机的逻辑工作方式奠定了基础，但没有实现程序存储。    普通,"下列关于计算机发展的叙述中有错误的是（   ）。
",B,ENIAC并没有真正地实现程序存储,图灵设计制造了“图灵机”，它真正地实现了程序存储,早在计算机发展的第—阶段就提出了“人工智能”的概念,Intel生产的4004微处理器将运算器和控制器集成在一个芯片上，标志着CPU的诞生,,,
CPU的主频不代表CPU的速度，但提高主频对于提高CPU运算速度却是至关重要的。    普通,"下列CPU主频（时钟频率）叙述中错误的是(    )。
",B,制造工艺的限制是CPU主频发展的最大障碍之一,时钟频率反映了CPU速度的快慢，CPU主频的速度就是CPU的运算速度,倍频、外频与主频关系紧密：主频=外频×倍频,CPU时钟频率的单位是赫兹（HZ）,,,
黑屏，可能导致的原因不可能是硬盘的原因。其他的有可能。    普通,"若打开（通电）自己的办公电脑发现黑屏，排查下列故障原因最不可能的是(    )。
",B,内存接触不良（或损坏）,硬盘没有接好（或硬盘没有操作系统软件）,CPU没有安装好（或CPU损坏）,显示器没有连接好（或显示器损坏）,,,
cpu遵循“冯诺依曼架构，而图形处理器GPU是一种专门在个人电脑、工作站、游戏机和一些移动设备（如平板电脑、智能手机等）上做图像和图形相关运算工作的微处理器。    普通,"关于CPU、GPU的叙述中错误的是（   ）。
",C,带“核显”的CPU就是把GPU整合在CPU中,GPU无法单独工作，必须由CPU进行控制调用才能工作,CPU和GPU都遵循“冯.诺依曼“结构原理，功能相同,CPU是计算机的控制和运算核心的处理器，GPU是计算机处理图像、图形的微处理器,,,
不可能原因的是与安装应用程序否没有关系。    普通,"若出现开机不启动的现象，不可能的原因是(    )。
",A,没有安装启动应用程序,硬盘没有初始化,系统没有启动盘,系统感染了计算机病毒,,,
"224KB=1110000000 00000000=11100000x2的10次方=38000 H,故A5000 H+38000H-1=DCFFFH    普通","一个224KB的存储器用十六进制数对它的地址进行编码,则编号可从A5000H到( )H。",C,CEEEF,B8000,DCFFF,DA767,,,
CPU主要由运算单元(ALU)、控制单元(CU)、寄存器和时序电路等部件组成。其中寄存器用于在指令执行过程中存放指令、操作数和中间结果。运算单元主要完成算术运算和逻辑运算，实现对数据的加工与处理。控制单元控制运算单元和寄存器准确地实现要求的操作。    普通,"CPU在指令执行过程中存放指令、操作数和中间结果的功能是由（   ）实现的。
",B,时序电路,寄存器,控制单元,运算单元,,,
总线是一种内部结构，它是cpu、内存、输入、输出设备传递信息的公用通道，主机的各个部件通过总线相连接，外部设备通过相应的接口电路再与总线相连接。    普通,"关于总线的说法中错误的是(  )。
",B,总线的类型分为内部总线、系统总线和扩展总线,系统总线是指CPU与各外部设备连接的总线,总线一次能传送的比特数目称为总线位宽,"ISA,PCI和USB都是扩展总线",,,
计算机指令就是指挥机器工作的指示和命令，程序就是一系列按一定顺序排列的指令，执行程序的过程就是计算机的工作过程。指令与计算机硬件种类息息相关，它主要是硬件系统中的指令集决定。    普通,"关于计算机指令的说法正确的是(    )。
",D,计算机指令种类与计算机硬件无关，主要是与人想表达自己的什么意图有关,计算机指令就是用计算机高级程序设计语言编写的程序,所有的计算机可以执行的计算机指令是相同的,计算机能够执行的指令是由计算机硬件系统决定的,,,
"软件可移植性指一种计算机上的软件转置到其它计算机上的能力,对计算机硬件的依赖性越低越好。良好的可移植性可以提高软件的生命周期。    普通","对软件可移植性的叙述错误的是(    )。
",C,可移植性并不是指所写的程序不作修改就可以在任何计算机上运行,对机器的硬件依赖程度越低则说明语言的可移植性越好,软件的可移植性与软件的生命周期没有关系,可移植性是衡量语言对计算机硬件依赖性与敏感程度的一种度量,,,
采用这种测试方法把测试对象看作一个黑盒子，完全不考虑程序内部的逻辑结构和内部特性，只依据程序的《需求规格说明书》，检查程序的功能是否符合它的功能说明。    普通,"黑盒测试是根据（   ）来设计测试用例。
",C,程序的功能,程序的性能,软件规格说明,程序的内部逻辑,,,
